YearsExperience,Salary
4.06,54708.19
9.53,85983.97
7.45,75067.04
6.19,59189.72
1.98,41001.31
1.98,43308.45
1.05,42211.58
8.73,80306.92
6.21,64026.03
7.23,71372.97
0.7,37861.61
9.71,89575.0
8.41,78340.96
2.52,47173.07
2.23,43768.31
2.24,47314.58
3.39,47531.79
5.49,61629.35
4.6,56031.57
3.27,43765.94
6.31,69044.48
1.83,42024.22
3.28,49700.45
3.98,52941.65
4.83,53318.52
7.96,76077.42
2.4,43029.14
5.39,59130.89
6.13,66134.86
0.94,37256.2
6.27,75164.74
2.12,43418.31
1.12,37750.2
9.51,86762.22
9.67,80344.92
8.18,78973.94
3.39,50580.92
1.43,48432.97
7.0,71230.56
4.68,59286.19
1.66,39821.15
5.2,56525.29
0.83,39551.29
9.14,87847.73
2.96,50924.13
6.79,67102.45
3.46,56371.18
5.44,57032.6
5.69,66487.43
2.26,52321.82
9.71,84297.85
7.86,74894.81
9.43,86978.61
9.0,81986.1
6.18,60877.35
9.26,85834.25
1.34,33790.79
2.36,46054.37
0.93,31902.3
3.59,57739.74
4.19,52006.99
3.08,47191.75
8.37,83474.07
3.89,48416.54
3.17,49929.84
5.66,69188.57
1.84,34610.07
8.12,79458.54
1.21,38299.53
9.88,92407.29
7.84,72092.2
2.39,39058.17
0.55,35387.77
8.25,80687.94
7.22,74321.97
7.43,75965.79
7.83,74259.9
1.2,38129.01
3.91,54632.29
1.6,36742.59
8.7,89663.1
6.42,70415.33
3.64,47074.79
1.1,39226.21
3.45,46801.27
3.59,54688.34
7.43,79214.38
6.56,66077.27
8.93,87433.5
4.99,61591.12
1.64,43128.24
7.28,81267.17
7.73,75398.45
5.83,61965.06
7.82,73361.94
5.19,57876.76
5.47,62511.59
4.56,58724.61
0.74,35546.76
1.52,42428.73
