comment,label
Worst video ever,toxic
You're amazing!,support
Stop making content,toxic
So clear and helpful,support
Waste of time,toxic
Awesome explanation,support
You're so dumb,toxic
You're amazing!,support
Cringe content,toxic
I learned a lot!,support
Clickbait title,toxic
Thanks for the content!,support
Cringe content,toxic
Keep up the great work,support
Worst video ever,toxic
Keep up the great work,support
You're so dumb,toxic
You're amazing!,support
You're so dumb,toxic
Best tutorial I've seen,support
Waste of time,toxic
I learned a lot!,support
Cringe content,toxic
You're amazing!,support
Cringe content,toxic
So clear and helpful,support
Cringe content,toxic
I learned a lot!,support
Cringe content,toxic
I learned a lot!,support
You're so dumb,toxic
Legend!,support
Can't believe people like this,toxic
Much appreciated!,support
You're so dumb,toxic
You're amazing!,support
Stop making content,toxic
Awesome explanation,support
Worst video ever,toxic
Legend!,support
Waste of time,toxic
I learned a lot!,support
This is trash,toxic
Best tutorial I've seen,support
Stop making content,toxic
This helped me a lot!,support
Worst video ever,toxic
Much appreciated!,support
Clickbait title,toxic
I learned a lot!,support
Clickbait title,toxic
Legend!,support
You're such a loser,toxic
Thanks for the content!,support
Waste of time,toxic
Awesome explanation,support
Worst video ever,toxic
Keep up the great work,support
This is trash,toxic
So clear and helpful,support
You're so dumb,toxic
Best tutorial I've seen,support
Clickbait title,toxic
Awesome explanation,support
You're so dumb,toxic
Legend!,support
Stop making content,toxic
Much appreciated!,support
This is trash,toxic
Legend!,support
Clickbait title,toxic
So clear and helpful,support
Waste of time,toxic
You're amazing!,support
You're so dumb,toxic
Thanks for the content!,support
You're such a loser,toxic
Much appreciated!,support
Cringe content,toxic
Best tutorial I've seen,support
You sound horrible,toxic
Keep up the great work,support
Stop making content,toxic
You're amazing!,support
This is trash,toxic
I learned a lot!,support
Clickbait title,toxic
I learned a lot!,support
Stop making content,toxic
I learned a lot!,support
You sound horrible,toxic
Legend!,support
Stop making content,toxic
So clear and helpful,support
Clickbait title,toxic
Awesome explanation,support
Waste of time,toxic
Much appreciated!,support
You're so dumb,toxic
So clear and helpful,support
